name,ctype,csubtype,contract,address,all_categories
Monday Trade,DeFi,DEX,SwapRouter,0x41d0e599a911ad3f0a8b2be5fde79a4fe6b38b92,DeFi::DEX
Monday Trade,DeFi,DEX,SpotFactory,0xab1235b461c5f80af4319746112a710cf2f22a79,DeFi::DEX
Monday Trade,DeFi,DEX,SpotConfig,0xfbe668b134d7297642115b6c625a566f8b76865e,DeFi::DEX
Nabla Finance,DeFi,DEX,NablaPortal,0xa3e4dc9e6481c027ff6520bcfe0a7a1fd6140042,DeFi::DEX
Nabla Finance,DeFi,DEX,NablaRouter,0x4a7b3a83cf4b2fa10f50e27fe88450424b59973d,DeFi::DEX
Nabla Finance,DeFi,DEX,PythAdapter,0x0d1add2ecf1306f1aa44e35f45c7f77de104b8e6,DeFi::DEX
NitroFinance,DeFi,DEX,NitroFactory,0xc218d4dd36c9d865a6da0913b2aa517fa5629dc7,DeFi::DEX;DeFi::Lending
NitroFinance,DeFi,DEX,NitroDebtManager,0x91e667106b9f4cdd11be9edbdbf999400f2eff01,DeFi::DEX;DeFi::Lending
NitroFinance,DeFi,DEX,NitroPoint,0x8f74182c65ea21114483a0fe35691c7e59afa93f,DeFi::DEX;DeFi::Lending
NitroFinance,DeFi,DEX,NitroAllocation,0x6be402b06d4fe8cde9b698a50853a66ea260d009,DeFi::DEX;DeFi::Lending
NitroFinance,DeFi,DEX,NitroRouter,0xff5ddcf0774006c9b263858f1ad11962baaae41c,DeFi::DEX;DeFi::Lending
NitroFinance,DeFi,DEX,NitroGame,0xce896cff1849b2b553bc591f2c474566f8d81730,DeFi::DEX;DeFi::Lending
Nostra,DeFi,DEX,CDPManager,0x610fd1c98b2a3edca353e39bee378a1256157f62,DeFi::DEX;DeFi::Lending
Nostra,DeFi,DEX,InterestRateModel,0x114095de3ae3ee61cd09d582a6d696a0e176a861,DeFi::DEX;DeFi::Lending
Nostra,DeFi,DEX,AdjustPositionAdapter,0x7792b73ec4b2af0a67272ae937b7c5de1ddbfb35,DeFi::DEX;DeFi::Lending
Nostra,DeFi,DEX,DeferredBatchCallAdapter,0x5f8b62a64ced4664559591ba0d17bbef9ad060a8,DeFi::DEX;DeFi::Lending
Nostra,DeFi,DEX,FlashLoanAdapter,0x26896ed71a4c9d7ba12f95eda379bd6478b15b2b,DeFi::DEX;DeFi::Lending
Nostra,DeFi,DEX,ChainlinkPriceOracleETH,0x97e1c5d616fe5e0eb825bb08b7fbe5cbf81e186f,DeFi::DEX;DeFi::Lending
Nostra,DeFi,DEX,PythPriceOracleETH,0x8c7d8b1c1d013b05b8b4e9645739f08d7f5301d4,DeFi::DEX;DeFi::Lending
Nostra,DeFi,DEX,PriceFeedETH,0x4029b3e160c7a58ac907be065ff1c5decfcce26a,DeFi::DEX;DeFi::Lending
Nostra,DeFi,DEX,ChainlinkPriceOracleUSDC,0x42f006b4058dddabfbfa1adc64928852b9a70347,DeFi::DEX;DeFi::Lending
Nostra,DeFi,DEX,PythPriceOracleUSDC,0x7373b43d4759ddc0f9fd9258919fff3f40d46caa,DeFi::DEX;DeFi::Lending
